                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77723,                 1.1106,                 3.8487,                 0.8997,                0.40139,                 0.3672,                0.27428,                0.26263,                0.40139,                 0.3672,                0.27431,                 0.2618,                0.29039,                 0.3411,                 5.9899,                0.81038,              9.375e-05,              9.375e-05,              9.375e-05
                      2,                0.53606,                0.70891,                 2.1746,                0.82064,                0.50666,                0.73371,                 0.5922,                0.57088,                0.50666,                0.73371,                 0.5922,                0.56947,                0.26794,                0.27132,                  4.618,                0.79191,             0.00019055,             0.00019055,             0.00019055
                      3,                0.58106,                0.69251,                 1.6384,                0.82007,                0.56674,                0.71658,                0.69428,                0.63573,                0.56674,                0.71658,                0.69428,                 0.6747,                0.39364,                0.28205,                  3.423,                0.84203,             0.00028406,             0.00028406,             0.00028406
                      4,                0.60201,                0.70561,                 1.3804,                 0.8292,                0.46269,                0.74009,                0.53348,                0.50569,                0.46269,                0.74009,                0.53348,                 0.5113,                0.30498,                 0.2926,                 3.7623,                0.78925,             0.00037426,             0.00037426,             0.00037426
                      5,                 0.5552,                0.74607,                 1.4332,                0.83788,                0.63328,                0.34008,                0.43645,                0.41535,                0.63328,                0.34008,                 0.4348,                 0.4057,                0.39611,                0.52896,                 3.2873,                0.85447,             0.00046116,             0.00046116,             0.00046116
                      6,                 0.5693,                0.81152,                 1.2837,                0.84896,                0.27746,                0.76455,                0.54924,                0.50045,                0.27746,                0.76455,                0.54924,                 0.5247,                0.45858,                0.57295,                 2.7424,                0.89291,             0.00054477,             0.00054477,             0.00054477
                      7,                 0.5868,                0.74928,                 1.2512,                0.83036,                 0.6273,                0.49974,                0.58211,                0.53917,                 0.6273,                0.49974,                0.58264,                 0.5327,                0.40643,                0.45701,                 2.2782,                0.84683,             0.00056313,             0.00056313,             0.00056313
                      8,                0.60377,                0.73193,                 1.1466,                0.84276,                0.59436,                0.75753,                0.76715,                0.71488,                0.59436,                0.75753,                0.76715,                 0.7177,                0.43017,                0.28554,                 67.491,                0.87375,             0.00056313,             0.00056313,             0.00056313
                      9,                0.56428,                 0.6587,                  1.061,                0.83071,                0.67724,                0.71417,                0.75003,                0.70482,                0.65822,                0.73044,                0.75159,                0.71671,                0.43792,                0.46807,                 1.7156,                0.90791,             0.00055281,             0.00055281,             0.00055281
                     10,                0.59889,                0.75035,                0.99651,                0.84681,                0.68364,                0.77806,                0.83431,                0.76454,                0.68364,                0.77806,                0.83431,                  0.783,                0.41134,                0.33148,                 1.2728,                0.86014,              0.0005425,              0.0005425,              0.0005425
                     11,                0.54261,                0.64698,                0.90651,                0.83338,                0.68565,                0.68916,                0.73479,                0.68201,                0.68565,                0.68916,                0.73479,                0.68169,                0.38204,                0.31709,                 1.6313,                0.85565,             0.00053219,             0.00053219,             0.00053219
                     12,                 0.5817,                0.75549,                0.93338,                0.83594,                0.59869,                 0.7955,                0.73052,                0.69535,                0.59869,                 0.7955,                0.73052,                0.68199,                0.37638,                0.31543,                 1.5666,                 0.8715,             0.00052188,             0.00052188,             0.00052188
                     13,                0.54067,                0.67021,                0.79914,                0.82646,                0.78262,                0.66529,                0.83189,                0.78475,                0.78262,                0.66529,                0.83189,                0.80416,                0.37452,                0.28487,                 1.3787,                0.84335,             0.00051156,             0.00051156,             0.00051156
                     14,                0.51922,                0.55472,                0.74088,                0.83402,                0.70615,                0.83158,                0.86289,                0.80087,                0.70615,                0.83158,                0.86289,                0.81914,                0.39293,                0.26548,                  1.202,                0.84058,             0.00050125,             0.00050125,             0.00050125
                     15,                0.52817,                0.70624,                0.72877,                0.82647,                0.83921,                 0.8284,                0.85575,                0.80218,                0.83921,                 0.8284,                0.85815,                0.80206,                0.35226,                0.35832,                 1.0508,                 0.8248,             0.00049094,             0.00049094,             0.00049094
                     16,                0.54462,                0.67748,                 0.6924,                0.82463,                0.74544,                0.84465,                0.88795,                0.82535,                0.74544,                0.84465,                0.88795,                0.86543,                0.35446,                0.29317,                0.91139,                0.82698,             0.00048062,             0.00048062,             0.00048062
                     17,                0.55479,                0.65487,                0.70727,                0.83054,                0.75614,                0.79137,                0.87503,                0.83074,                0.75614,                0.79137,                0.87503,                0.85047,                0.33427,                0.22337,                 1.1677,                0.81374,             0.00047031,             0.00047031,             0.00047031
                     18,                0.53494,                0.63169,                0.64467,                0.81764,                0.84303,                0.85075,                 0.9187,                0.85453,                0.84303,                0.85075,                 0.9187,                0.88495,                0.35125,                0.23356,                0.87006,                0.82655,                0.00046,                0.00046,                0.00046
                     19,                0.53655,                0.71092,                0.62678,                 0.8292,                0.87747,                0.84282,                0.92792,                0.88293,                0.89541,                0.86517,                0.93311,                0.88788,                 0.3323,                0.25537,                0.69608,                0.81206,             0.00044969,             0.00044969,             0.00044969
                     20,                0.50139,                0.54331,                0.58404,                0.81086,                 0.8726,                0.76649,                0.89736,                0.86143,                 0.8726,                0.76649,                0.89736,                0.86748,                0.30629,                0.23428,                0.85418,                 0.8017,             0.00043937,             0.00043937,             0.00043937
                     21,                0.49527,                0.52401,                0.57884,                0.82406,                0.91092,                0.84359,                 0.9532,                0.90099,                0.91092,                0.84359,                 0.9532,                0.92267,                0.34844,                0.23989,                0.66203,                0.83576,             0.00042906,             0.00042906,             0.00042906
                     22,                0.48058,                0.67047,                0.56569,                0.82127,                0.85532,                0.79767,                0.90008,                0.86817,                0.85532,                0.79767,                0.90008,                0.88335,                 0.3182,                 0.2405,                0.84306,                0.80713,             0.00041875,             0.00041875,             0.00041875
                     23,                0.47211,                0.54557,                0.57819,                0.81609,                0.84642,                0.88965,                 0.9147,                 0.8727,                0.84642,                0.88965,                 0.9147,                0.87181,                 0.3273,                0.23507,                0.68703,                0.81979,             0.00040844,             0.00040844,             0.00040844
                     24,                0.48254,                0.58568,                0.50685,                0.80984,                0.88019,                 0.8369,                 0.9384,                0.89895,                0.88019,                 0.8369,                 0.9384,                0.89916,                0.33523,                0.27454,                0.72817,                0.82635,             0.00039813,             0.00039813,             0.00039813
                     25,                0.47117,                0.53169,                 0.5021,                0.81369,                 0.8821,                0.87064,                0.95472,                0.91505,                 0.8821,                0.87064,                0.95472,                0.93227,                0.29988,                 0.2123,                0.59733,                0.81158,             0.00038781,             0.00038781,             0.00038781
                     26,                0.44401,                0.57468,                0.51538,                0.82413,                0.91455,                0.81974,                0.93377,                0.90123,                0.91455,                0.81974,                0.93377,                0.91603,                0.29097,                0.21548,                0.61911,                0.80911,              0.0003775,              0.0003775,              0.0003775
                     27,                0.44156,                0.54513,                0.47512,                0.80823,                0.85428,                0.81763,                0.87352,                0.85128,                0.85428,                0.81763,                0.87352,                0.84255,                0.28043,                0.23718,                0.67576,                0.80636,             0.00036719,             0.00036719,             0.00036719
                     28,                0.46624,                0.59774,                0.48131,                0.79741,                0.91384,                0.81642,                0.92275,                0.88617,                0.91384,                0.81642,                0.92275,                0.89571,                0.32109,                0.23597,                0.66516,                0.81211,             0.00035687,             0.00035687,             0.00035687
                     29,                0.44857,                0.53078,                0.47363,                0.80712,                0.69619,                0.88457,                0.87623,                0.85905,                0.69619,                0.88457,                0.87623,                0.85447,                0.27661,                0.24862,                0.76927,                0.79468,             0.00034656,             0.00034656,             0.00034656
                     30,                0.45161,                0.53214,                0.46828,                0.82067,                0.75907,                0.84411,                0.89597,                0.87387,                0.75907,                0.84411,                0.90461,                0.86743,                0.29068,                0.25553,                0.68684,                 0.8009,             0.00033625,             0.00033625,             0.00033625
                     31,                0.45764,                0.51222,                0.46362,                0.80548,                0.90203,                0.82595,                0.92634,                0.89874,                0.90203,                0.82595,                0.93702,                 0.8934,                0.31656,                0.27176,                 0.6101,                0.82035,             0.00032594,             0.00032594,             0.00032594
                     32,                 0.4384,                 0.4985,                0.42818,                0.81145,                0.86086,                0.87707,                0.91232,                0.88674,                0.86086,                0.87707,                0.91232,                0.88631,                0.33679,                0.25445,                0.64127,                0.85605,             0.00031562,             0.00031562,             0.00031562
                     33,                0.40685,                0.45888,                0.40665,                 0.7999,                0.94168,                0.82844,                0.91054,                0.89802,                0.94168,                0.82844,                0.91054,                0.88531,                0.28363,                 0.2065,                0.77197,                0.79462,             0.00030531,             0.00030531,             0.00030531
                     34,                0.43299,                0.51182,                0.46855,                0.80749,                0.93048,                0.88455,                0.96005,                0.92786,                0.93048,                0.88455,                0.96005,                0.93071,                0.28576,                0.21577,                0.51052,                0.78922,               0.000295,               0.000295,               0.000295
                     35,                0.42122,                0.52865,                0.45745,                0.80585,                0.93773,                0.90396,                0.96909,                0.94574,                0.93773,                0.90396,                0.96909,                0.93341,                0.26714,                0.23559,                0.48536,                0.79451,             0.00028469,             0.00028469,             0.00028469
                     36,                0.44462,                0.51812,                0.43747,                0.81014,                0.95733,                0.85635,                0.96063,                0.94274,                0.95733,                0.85635,                0.96063,                0.91982,                0.25969,                0.21784,                0.49179,                0.79152,             0.00027437,             0.00027437,             0.00027437
                     37,                0.43755,                0.47722,                0.41997,                 0.8075,                0.91983,                0.86778,                0.96322,                0.94909,                0.91983,                0.86778,                0.96322,                0.92377,                 0.2426,                0.20942,                0.45894,                0.79163,             0.00026406,             0.00026406,             0.00026406
                     38,                 0.4173,                0.52037,                0.38682,                0.80253,                0.97008,                0.89146,                0.96894,                0.96294,                0.97008,                0.89146,                0.96894,                0.94379,                0.22363,                0.20814,                0.44049,                0.77698,             0.00025375,             0.00025375,             0.00025375
                     39,                0.42222,                0.48375,                0.39782,                 0.8057,                0.96239,                0.89653,                 0.9684,                0.96383,                0.96239,                0.89653,                 0.9684,                0.94969,                 0.2228,                0.20359,                0.42023,                0.77359,             0.00024344,             0.00024344,             0.00024344
                     40,                0.40504,                0.45721,                 0.4176,                 0.8074,                0.89286,                0.90486,                0.96789,                0.96403,                0.89286,                0.90486,                0.96789,                0.95137,                0.22081,                0.20243,                0.45758,                0.77017,             0.00023313,             0.00023313,             0.00023313
                     41,                0.39419,                0.48285,                0.38767,                0.80782,                 0.9013,                0.89239,                0.97176,                0.96022,                 0.9013,                0.89239,                0.97176,                0.94199,                0.21492,                0.20812,                0.44727,                0.77071,             0.00022281,             0.00022281,             0.00022281
                     42,                0.39897,                 0.4609,                0.38723,                0.80069,                0.87782,                0.89793,                 0.9744,                0.97306,                0.87782,                0.89793,                 0.9744,                0.95576,                0.21679,                0.21695,                0.43819,                0.77539,              0.0002125,              0.0002125,              0.0002125
                     43,                0.42195,                0.50338,                0.38934,                0.79591,                0.90977,                0.88273,                0.95984,                0.95793,                0.90977,                0.88273,                0.96447,                0.94322,                0.21222,                0.22156,                0.38636,                0.77577,             0.00020219,             0.00020219,             0.00020219
                     44,                0.42098,                0.50485,                0.35548,                0.79961,                 0.9209,                0.82873,                0.96699,                0.96297,                 0.9209,                0.82873,                0.96699,                0.95128,                0.20648,                0.20318,                0.44839,                0.77685,             0.00019188,             0.00019188,             0.00019188
                     45,                0.37532,                0.44483,                0.35002,                0.79892,                 0.9479,                0.84767,                 0.9587,                0.95327,                 0.9479,                0.84767,                 0.9587,                0.93276,                0.20999,                0.20247,                0.48872,                0.77578,             0.00018156,             0.00018156,             0.00018156
                     46,                0.37771,                0.43038,                0.33947,                0.79781,                0.89794,                0.91393,                 0.9614,                0.95278,                0.89794,                0.91393,                 0.9614,                0.94422,                 0.2058,                0.20381,                0.41666,                0.77407,             0.00017125,             0.00017125,             0.00017125
                     47,                0.37657,                0.46211,                0.36772,                0.80177,                0.93741,                0.91783,                0.96884,                0.95738,                0.93741,                0.91783,                0.97122,                0.94186,                0.21309,                 0.2009,                0.35166,                0.77721,             0.00016094,             0.00016094,             0.00016094
                     48,                0.37226,                0.43905,                0.36672,                0.80002,                0.93464,                0.93026,                 0.9648,                 0.9498,                0.93464,                0.93026,                0.97215,                0.92822,                0.21836,                0.19544,                0.35942,                 0.7827,             0.00015062,             0.00015062,             0.00015062
                     49,                0.38122,                0.48594,                0.35922,                0.79516,                0.96383,                0.89957,                 0.9706,                0.94748,                0.96383,                0.89957,                 0.9706,                 0.9338,                0.21115,                 0.1955,                0.34946,                0.77462,             0.00014031,             0.00014031,             0.00014031
                     50,                0.35847,                0.42615,                0.31754,                0.79168,                0.93184,                 0.9227,                0.97341,                0.96444,                0.93184,                 0.9227,                0.97341,                0.95124,                0.20705,                0.19451,                0.33327,                0.77197,                0.00013,                0.00013,                0.00013
                     51,                  0.334,                0.41825,                0.27552,                0.78429,                0.94153,                0.92001,                0.96971,                0.96296,                0.94153,                0.92001,                0.96971,                0.95274,                  0.205,                0.20545,                 0.3063,                 0.7697,             0.00011969,             0.00011969,             0.00011969
                     52,                0.34191,                0.43997,                0.28305,                0.78986,                0.95857,                0.94979,                0.97463,                0.96677,                0.95857,                0.94979,                0.97463,                0.95698,                 0.2039,                0.20278,                0.30067,                0.76618,             0.00010937,             0.00010937,             0.00010937
                     53,                0.35224,                 0.4448,                0.28368,                0.78545,                0.94203,                0.93919,                0.97315,                0.97315,                0.94203,                0.93919,                0.97315,                0.95783,                0.18618,                0.20514,                0.31377,                0.76356,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     54,                0.36743,                 0.4416,                0.27015,                0.78993,                  0.942,                0.92432,                0.97315,                0.97156,                  0.942,                0.92432,                0.97315,                0.96157,                0.19779,                0.19779,                0.31134,                0.76765,              8.875e-05,              8.875e-05,              8.875e-05
                     55,                0.34638,                0.42769,                0.25274,                0.78605,                0.94031,                0.93839,                0.97414,                0.97263,                0.94031,                0.93839,                0.97414,                0.96489,                0.18088,                 0.1947,                0.32519,                0.76687,             7.8438e-05,             7.8438e-05,             7.8438e-05
                     56,                0.31545,                0.36289,                 0.2511,                0.78245,                 0.9306,                0.93018,                0.97117,                0.96964,                 0.9306,                0.93018,                0.97117,                0.95355,                0.19342,                  0.196,                0.33324,                0.76734,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     57,                0.31252,                0.39257,                0.24557,                0.77203,                0.93199,                0.92864,                0.97595,                0.97412,                0.93199,                0.92864,                0.97595,                0.96123,                0.18849,                0.19236,                0.32589,                0.76497,             5.7813e-05,             5.7813e-05,             5.7813e-05
                     58,                0.32722,                0.42136,                0.26672,                0.79085,                0.92561,                0.95487,                0.97463,                0.97463,                0.92561,                0.95487,                0.97463,                0.96509,                0.18001,                   0.19,                0.29615,                0.76301,               4.75e-05,               4.75e-05,               4.75e-05
                     59,                0.30987,                0.41047,                0.24362,                0.77936,                0.94797,                0.94621,                0.97532,                0.97392,                0.94797,                0.94621,                0.97532,                0.95608,                0.19011,                 0.1923,                0.28386,                0.76357,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     60,                0.31651,                0.38401,                 0.2425,                 0.7809,                0.95414,                0.94652,                0.97532,                0.97532,                0.95414,                0.94652,                0.97532,                0.95836,                0.17278,                0.18871,                0.27569,                0.76091,             2.6875e-05,             2.6875e-05,             2.6875e-05
